tweet_link,date,keyword,text,replies,retweets,likes,replying_to,image_link
https://twitter.com/elonmusk/status/1382552587099062272,Apr 15,Doge,Doge Barking at the Moon,20.6K,51.9K,311.7K,,https://pbs.twimg.com/media/Ey_QPDlWQAIFuJy?format=jpg&name=small
https://twitter.com/elonmusk/status/1382551451185131522,Apr 15,Doge,Doge Barking at the Moon – Miro,761,2.4K,18.7K,@WSBChairman,https://pbs.twimg.com/media/Ey_PM90XAAEicH7?format=jpg&name=small
https://twitter.com/elonmusk/status/1377567762919292938,Apr 1,Dogecoin,SpaceX is going to put a literal Dogecoin on the literal moon,26K,58.8K,539.8K,,
https://twitter.com/elonmusk/status/1371600053039722500,Mar 16,Doge,420M Doge,2.5K,5.6K,80.7K,@beeple,
https://twitter.com/elonmusk/status/1370883943143251968,Mar 14,Doge,"Origin of Doge Day Afternoon:
The ancient Romans sacrificed a Dogecoin at the beginning of the Doge Days to appease the rage of Sirius, believing that the star was the cause of the hot, sultry weather.",2.4K,8.3K,76.4K,Doge,
https://twitter.com/elonmusk/status/1370882536101056523,Mar 14,Doge,Doge day afternoon,7.4K,20.6K,176.2K,,
https://twitter.com/elonmusk/status/1368058884837928970,Mar 6,Doge,Doge spelled backwards is Egod,20.9K,43.1K,409.7K,,
https://twitter.com/elonmusk/status/1366857632372256770,Mar 3,Doge,Very much so & its leader shall be The Doge,746,1.8K,16.2K,@WootiezTV,https://pbs.twimg.com/card_img/1382481742305574917/aHkMvC7J?format=jpg&name=240x240
https://twitter.com/elonmusk/status/1366668744748007425,Mar 2,Dogecoin,2022: Dogecoin is dumb,825,2.2K,14.4K,@draecomino,
https://twitter.com/elonmusk/status/1366477626429169666,Mar 1,Doge,Doge meme shield (legendary item),9.5K,28.6K,283.9K,,https://pbs.twimg.com/media/Eva0KLkVkAIE0Mw?format=jpg&name=small
https://twitter.com/elonmusk/status/1363601164344823810,Feb 22,Doge,Dojo 4 Doge,19.9K,36.6K,328.4K,,
https://twitter.com/elonmusk/status/1363067491673468932,Feb 20,,"Just some used Antminer L3+ rigs bought off eBay. Not really economic, but it was a fun family project.",645,859,9K,@PPathole,
https://twitter.com/elonmusk/status/1363046350900785156,Feb 20,Doge,I just set up some little Doge mining rigs with my kids. It was fun.,3K,7.6K,56K,@dogecoin,
https://twitter.com/elonmusk/status/1361096223428653056,Feb 15,Doge,An acceptable percentage. Doge is much more concentrated.,476,795,6K,@RationalEtienne,
https://twitter.com/elonmusk/status/1361094185412100096,Feb 15,Dogecoin,"If major Dogecoin holders sell most of their coins, it will get my full support. Too much concentration is the only real issue imo.",29K,40.7K,331.9K,,
https://twitter.com/elonmusk/status/1360007611781795840,Feb 12,Doge,Doge is underestimated,2.1K,9.3K,28.2K,@gtera27,
https://twitter.com/elonmusk/status/1359519541219500033,Feb 10,Dogecoin,"Bought some Dogecoin for lil X, so he can be a toddler hodler",29K,68.8K,551.1K,,
https://twitter.com/elonmusk/status/1358648653573992450,Feb 8,Doge,"Doge appears to be inflationary, but is not meaningfully so (fixed # of coins per unit time), whereas BTC is arguably deflationary to a fault.
Transaction speed of Doge should ideally be a few orders of magnitude faster.",1.1K,3.5K,14.1K,@itsALLrisky,
https://twitter.com/elonmusk/status/1358542364948668418,Feb 8,Doge,Who let the Doge out,27.4K,127.5K,790.7K,,https://abs-0.twimg.com/emoji/v2/svg/1f3b6.svg
https://twitter.com/elonmusk/status/1357236825589432322,Feb 4,,ur welcome,150K,19.8K,1M,,https://pbs.twimg.com/media/EtXfpgGWYAEIa7y?format=jpg&name=large
https://twitter.com/elonmusk/status/1357244295091208193,Feb 4,Doge,"No highs, no lows, only Doge",22.6K,126K,777.2K,,
https://twitter.com/elonmusk/status/1357241340313141249,Feb 4,Dogecoin,Dogecoin is the people’s crypto,19.4K,117.7K,555.4K,,
https://twitter.com/elonmusk/status/1357231313376456708,Feb 4,Doge,Doge,9.3K,54K,262.3K,,
https://twitter.com/elonmusk/status/1342512194383007745,"Dec 25, 2020",,Merry Christmas & happy holidays!,13.1K,2.4K,235.6K,,https://pbs.twimg.com/media/EqGPuYCUwAIb7_U?format=jpg&name=900x900
https://twitter.com/elonmusk/status/1340590280848908288,"Dec 20, 2020",Doge,One word: Doge,11.1K,33K,223K,,
https://twitter.com/elonmusk/status/1328771222822400001,"Nov 17, 2020",Doge,Dojo/Doge,80,86,994,@ReflexFunds,
https://twitter.com/elonmusk/status/1284290215561986048,"Jul 18, 2020",Doge,"Excuse me, I only sell Doge!",415,912,15.8K,@izzynobre,
https://twitter.com/elonmusk/status/1254039929333649409,"Apr 25, 2020",Dogecoin,Dogecoin Mode,124,258,2.1K,@28delayslater,
https://twitter.com/elonmusk/status/1113178951403180032,"Apr 2, 2019",Dogecoin,Dogecoin value may vary,1K,2.1K,20K,"NEW YORK—Saying it may account for the precipitous drop in the digital currency, financial experts on Friday told reporters that the recent plunge in bitcoin value could reveal vulnerabilities in...",https://pbs.twimg.com/card_img/1382424613150289927/Zw6iusoI?format=jpg&name=small
https://twitter.com/elonmusk/status/1113173498384441344,"Apr 2, 2019",Dogecoin,Dogecoin rulz,1.7K,17.4K,138.4K,,https://pbs.twimg.com/media/D3LJZDSUwAABEea?format=jpg&name=small
https://twitter.com/elonmusk/status/1113164389929160706,"Apr 2, 2019",,Uh oh,216,541,15.4K,@dogecoin,
https://twitter.com/elonmusk/status/1113009339743100929,"Apr 2, 2019",Dogecoin,Dogecoin might be my fav cryptocurrency. It’s pretty cool.,559,3K,9K,@iamhodler,